Abs300nm,PLA
0.811379434,18639.44196
0.745250315,19248.85671
0.802091125,20725.94799
0.760589939,23573.46153
0.737413764,79465.93497
0.801406573,23528.75713
0.757750019,23227.36902
0.790622016,35165.77912
0.658163988,157743.0708
0.714174149,23086.39139
0.791635605,25188.35167
0.841853383,36762.23103
0.701970361,23690.86272
0.774778521,26906.83857
0.762816082,28112.86578
0.719391488,21434.04233
0.687561644,128196.1829
0.739743339,24051.09897
0.699292917,24211.70915
0.630850541,130230.4009
0.826797804,31712.30369
0.884102539,57527.41801
0.745415635,23771.37709
0.600567455,26268.10053
0.763700801,24831.75334
0.656993776,23097.92805
0.701479915,21050.33889
0.678209285,25074.20694
0.728556024,153340.398
0.728805465,57422.79693
0.647689288,23480.27089
0.560802359,257288.5258
0.684080099,24473.06953
0.75388313,108406.5952
0.700645458,26055.39083
0.63835945,22635.9203
0.633435515,25714.89477
0.625773913,200314.2762
0.656071092,25183.46483
0.685789131,24634.75431
0.553778312,338686.1894
0.80773155,93243.8409
0.616746858,30487.66965
0.745215264,59148.14786
0.656068596,29058.53586
0.718155602,28011.77433
0.713451911,46382.96279
0.688863236,158805.3786
0.668498947,26960.47648
0.592556383,231478.9101
0.741978209,134956.9255
0.795489369,136727.3295
0.824231768,81800.03855
0.764165564,41223.48727
0.667055106,301005.5434
0.782986552,91730.55134
0.709568112,270785.5204
0.796699729,62202.79276
0.806626203,35630.37579
0.797993085,36227.0438
