Abs300nm,PLA
0.416937326,111441.1505
0.368313594,110844.6965
0.499973666,116851.0709
0.510062154,93160.66305
0.683723417,111920.0823
0.539946212,130781.0049
0.37106881,105291.0287
0.580184341,128471.3681
0.580816127,189664.7569
0.527651507,81668.89279
0.580042171,138225.1653
0.561867209,154554.5789
0.510797768,96408.07363
0.599496882,124438.2759
0.610569268,129492.1789
0.4598924,108535.7072
0.502238254,182880.2391
0.588239042,97581.71743
0.573271443,114152.6608
0.519238572,163424.1917
0.50417105,132002.108
0.639747094,172569.1946
0.602129998,105604.3233
0.486451838,55434.58646
0.615417116,109807.9346
0.539701769,80653.73344
0.554628443,104842.7652
0.570516209,91318.37273
0.540771656,210323.0618
0.537553668,147202.4085
0.517362223,73834.29491
0.479635529,246791.8499
0.5487664,98244.54923
0.582053334,214335.4598
0.592385032,111945.047
0.52276668,94485.8556
0.512947491,55314.50487
0.605214111,245111.7851
0.544914113,87824.05625
0.570777579,88839.84948
0.571618828,266656.1563
0.611226018,175917.5872
0.519431253,50503.2003
0.571822433,128456.1663
0.53739563,54314.93071
0.623842287,84780.89726
0.573465048,122554.7132
0.661023947,229332.5309
0.563659714,68090.16181
0.713810659,256776.147
0.563052038,193968.6633
0.725332885,221593.0048
0.657660336,149931.5557
0.612819083,108162.03
0.820728148,300428.347
0.618106885,157988.8015
0.858300966,264278.1685
0.653549751,141758.6966
0.671573268,107795.6518
0.679855993,104934.3279
